#
# cmptest.csv -- pin constraints for DE2-115 board
#

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
#sdram_dq[20],Bidir,PIN_N4,1,B1_N2,3.3-V LVTTL,
#sdram_dq[19],Bidir,PIN_N3,1,B1_N2,3.3-V LVTTL,
#sdram_dq[18],Bidir,PIN_P2,1,B1_N2,3.3-V LVTTL,
#sdram_dq[17],Bidir,PIN_L8,1,B1_N2,3.3-V LVTTL,
#sdram_dq[16],Bidir,PIN_M8,1,B1_N2,3.3-V LVTTL,
#sdram_dq[15],Bidir,PIN_AC2,2,B2_N1,3.3-V LVTTL,
#sdram_dq[14],Bidir,PIN_AB3,2,B2_N1,3.3-V LVTTL,
#sdram_dq[13],Bidir,PIN_AC1,2,B2_N1,3.3-V LVTTL,
#sdram_dq[12],Bidir,PIN_AB2,2,B2_N0,3.3-V LVTTL,
#sdram_dq[11],Bidir,PIN_AA3,2,B2_N1,3.3-V LVTTL,
#sdram_dq[10],Bidir,PIN_AB1,2,B2_N0,3.3-V LVTTL,
#sdram_dq[9],Bidir,PIN_Y4,2,B2_N1,3.3-V LVTTL,
#sdram_dq[8],Bidir,PIN_Y3,2,B2_N1,3.3-V LVTTL,
#sdram_dq[7],Bidir,PIN_U3,2,B2_N0,3.3-V LVTTL,
#sdram_dq[6],Bidir,PIN_V1,2,B2_N0,3.3-V LVTTL,
#sdram_dq[5],Bidir,PIN_V2,2,B2_N0,3.3-V LVTTL,
#sdram_dq[4],Bidir,PIN_V3,2,B2_N0,3.3-V LVTTL,
#sdram_dq[3],Bidir,PIN_W1,2,B2_N1,3.3-V LVTTL,
#sdram_dq[2],Bidir,PIN_V4,2,B2_N0,3.3-V LVTTL,
#sdram_dq[1],Bidir,PIN_W2,2,B2_N0,3.3-V LVTTL,
#sdram_dq[0],Bidir,PIN_W3,2,B2_N2,3.3-V LVTTL,

#
# Flash ROM
#
#fl_ce_n,Output,PIN_AG7,3,B3_N2,3.3-V LVTTL,
#fl_oe_n,Output,PIN_AG8,3,B3_N1,3.3-V LVTTL,
#fl_we_n,Output,PIN_AC10,3,B3_N0,3.3-V LVTTL,
#fl_wp_n,Output,PIN_AE12,3,B3_N1,3.3-V LVTTL,
#fl_rst_n,Output,PIN_AE11,3,B3_N1,3.3-V LVTTL,
##fl_ry,Input,PIN_Y1,2,B2_N0,3.3-V LVTTL,
#fl_addr[22],Output,PIN_AD11,3,B3_N0,3.3-V LVTTL,
#fl_addr[21],Output,PIN_AD10,3,B3_N2,3.3-V LVTTL,
#fl_addr[20],Output,PIN_AE10,3,B3_N1,3.3-V LVTTL,
#fl_addr[19],Output,PIN_AD12,3,B3_N0,3.3-V LVTTL,
#fl_addr[18],Output,PIN_AC12,3,B3_N0,3.3-V LVTTL,
#fl_addr[17],Output,PIN_AH12,3,B3_N0,3.3-V LVTTL,
#fl_addr[16],Output,PIN_AA8,3,B3_N1,3.3-V LVTTL,
#fl_addr[15],Output,PIN_Y10,3,B3_N2,3.3-V LVTTL,
#fl_addr[14],Output,PIN_AC8,3,B3_N1,3.3-V LVTTL,
#fl_addr[13],Output,PIN_AD8,3,B3_N2,3.3-V LVTTL,
#fl_addr[12],Output,PIN_AA10,3,B3_N1,3.3-V LVTTL,
#fl_addr[11],Output,PIN_AF9,3,B3_N1,3.3-V LVTTL,
#fl_addr[10],Output,PIN_AE9,3,B3_N1,3.3-V LVTTL,
#fl_addr[9],Output,PIN_AB10,3,B3_N1,3.3-V LVTTL,
#fl_addr[8],Output,PIN_AB12,3,B3_N0,3.3-V LVTTL,
#fl_addr[7],Output,PIN_AB13,3,B3_N0,3.3-V LVTTL,
#fl_addr[6],Output,PIN_AA12,3,B3_N0,3.3-V LVTTL,
#fl_addr[5],Output,PIN_AA13,3,B3_N0,3.3-V LVTTL,
#fl_addr[4],Output,PIN_Y12,3,B3_N0,3.3-V LVTTL,
#fl_addr[3],Output,PIN_Y14,3,B3_N0,3.3-V LVTTL,
#fl_addr[2],Output,PIN_Y13,3,B3_N0,3.3-V LVTTL,
#fl_addr[1],Output,PIN_AH7,3,B3_N1,3.3-V LVTTL,
#fl_addr[0],Output,PIN_AG12,3,B3_N0,3.3-V LVTTL,
#fl_dq[7],Input,PIN_AF12,3,B3_N1,3.3-V LVTTL,
#fl_dq[6],Input,PIN_AH11,3,B3_N0,3.3-V LVTTL,
#fl_dq[5],Input,PIN_AG11,3,B3_N0,3.3-V LVTTL,
#fl_dq[4],Input,PIN_AF11,3,B3_N1,3.3-V LVTTL,
#fl_dq[3],Input,PIN_AH10,3,B3_N1,3.3-V LVTTL,
#fl_dq[2],Input,PIN_AG10,3,B3_N1,3.3-V LVTTL,
#fl_dq[1],Input,PIN_AF10,3,B3_N1,3.3-V LVTTL,
#fl_dq[0],Input,PIN_AH8,3,B3_N1,3.3-V LVTTL,

#
# VGA display
#
#vga_hsync,Output,PIN_G13,8,B8_N0,3.3-V LVTTL,
#vga_vsync,Output,PIN_C13,8,B8_N0,3.3-V LVTTL,
#vga_clk,Output,PIN_A12,8,B8_N0,3.3-V LVTTL,
#vga_sync_n,Output,PIN_C10,8,B8_N0,3.3-V LVTTL,
#vga_blank_n,Output,PIN_F11,8,B8_N1,3.3-V LVTTL,
#vga_r[7],Output,PIN_H10,8,B8_N1,3.3-V LVTTL,
#vga_r[6],Output,PIN_H8,8,B8_N2,3.3-V LVTTL,
#vga_r[5],Output,PIN_J12,8,B8_N0,3.3-V LVTTL,
#vga_r[4],Output,PIN_G10,8,B8_N1,3.3-V LVTTL,
#vga_r[3],Output,PIN_F12,8,B8_N1,3.3-V LVTTL,
#vga_r[2],Output,PIN_D10,8,B8_N1,3.3-V LVTTL,
#vga_r[1],Output,PIN_E11,8,B8_N1,3.3-V LVTTL,
#vga_r[0],Output,PIN_E12,8,B8_N1,3.3-V LVTTL,
#vga_g[7],Output,PIN_C9,8,B8_N1,3.3-V LVTTL,
#vga_g[6],Output,PIN_F10,8,B8_N1,3.3-V LVTTL,
#vga_g[5],Output,PIN_B8,8,B8_N1,3.3-V LVTTL,
#vga_g[4],Output,PIN_C8,8,B8_N1,3.3-V LVTTL,
#vga_g[3],Output,PIN_H12,8,B8_N1,3.3-V LVTTL,
#vga_g[2],Output,PIN_F8,8,B8_N2,3.3-V LVTTL,
#vga_g[1],Output,PIN_G11,8,B8_N1,3.3-V LVTTL,
#vga_g[0],Output,PIN_G8,8,B8_N2,3.3-V LVTTL,
#vga_b[7],Output,PIN_D12,8,B8_N0,3.3-V LVTTL,
#vga_b[6],Output,PIN_D11,8,B8_N1,3.3-V LVTTL,
#vga_b[5],Output,PIN_C12,8,B8_N0,3.3-V LVTTL,
#vga_b[4],Output,PIN_A11,8,B8_N0,3.3-V LVTTL,
#vga_b[3],Output,PIN_B11,8,B8_N0,3.3-V LVTTL,
#vga_b[2],Output,PIN_C11,8,B8_N1,3.3-V LVTTL,
#vga_b[1],Output,PIN_A10,8,B8_N0,3.3-V LVTTL,
#vga_b[0],Output,PIN_B10,8,B8_N0,3.3-V LVTTL,

#
# keyboard
#
#ps2_0_clk,Input,PIN_G6,1,B1_N0,3.3-V LVTTL,
#ps2_0_data,Input,PIN_H5,1,B1_N1,3.3-V LVTTL,

#
# mouse
#
#ps2_1_clk,Bidir,PIN_G5,1,B1_N0,3.3-V LVTTL,
#ps2_1_data,Bidir,PIN_F5,1,B1_N0,3.3-V LVTTL,

#
# serial line 0
#
rs232_0_rxd,Input,PIN_G12,8,B8_N1,3.3-V LVTTL,
rs232_0_txd,Output,PIN_G9,8,B8_N2,3.3-V LVTTL,

#
# serial line 1
#
#rs232_1_rxd,Input,PIN_J13,8,B8_N0,3.3-V LVTTL,
#rs232_1_txd,Output,PIN_G14,8,B8_N0,3.3-V LVTTL,

#
# SD card
#
# SD mode
#sdcard_clk,Output,PIN_AE13,3,B3_N0,3.3-V LVTTL,
#sdcard_cmd,Bidir,PIN_AD14,3,B3_N0,3.3-V LVTTL,
#sdcard_dat[3],Bidir,PIN_AC14,3,B3_N0,3.3-V LVTTL,
#sdcard_dat[2],Bidir,PIN_AB14,3,B3_N0,3.3-V LVTTL,
#sdcard_dat[1],Bidir,PIN_AF13,3,B3_N0,3.3-V LVTTL,
#sdcard_dat[0],Bidir,PIN_AE14,3,B3_N0,3.3-V LVTTL,
#sdcard_wp,Input,PIN_AF14,3,B3_N0,3.3-V LVTTL,
# SPI mode
#sdcard_ss_n,Output,PIN_AC14,3,B3_N0,3.3-V LVTTL,
#sdcard_sclk,Output,PIN_AE13,3,B3_N0,3.3-V LVTTL,
#sdcard_mosi,Output,PIN_AD14,3,B3_N0,3.3-V LVTTL,
#sdcard_miso,Input,PIN_AE14,3,B3_N0,3.3-V LVTTL,
##sdcard_wp,Input,PIN_AF14,3,B3_N0,3.3-V LVTTL,

#
# board I/O
#
#led_g[8],Output,PIN_F17,7,B7_N2,2.5 V,
#led_g[7],Output,PIN_G21,7,B7_N1,2.5 V,
#led_g[6],Output,PIN_G22,7,B7_N2,2.5 V,
#led_g[5],Output,PIN_G20,7,B7_N1,2.5 V,
#led_g[4],Output,PIN_H21,7,B7_N2,2.5 V,
#led_g[3],Output,PIN_E24,7,B7_N1,2.5 V,
#led_g[2],Output,PIN_E25,7,B7_N1,2.5 V,
#led_g[1],Output,PIN_E22,7,B7_N0,2.5 V,
#led_g[0],Output,PIN_E21,7,B7_N0,2.5 V,
#led_r[17],Output,PIN_H15,7,B7_N2,2.5 V,
#led_r[16],Output,PIN_G16,7,B7_N2,2.5 V,
#led_r[15],Output,PIN_G15,7,B7_N2,2.5 V,
#led_r[14],Output,PIN_F15,7,B7_N2,2.5 V,
#led_r[13],Output,PIN_H17,7,B7_N2,2.5 V,
#led_r[12],Output,PIN_J16,7,B7_N2,2.5 V,
#led_r[11],Output,PIN_H16,7,B7_N2,2.5 V,
#led_r[10],Output,PIN_J15,7,B7_N2,2.5 V,
#led_r[9],Output,PIN_G17,7,B7_N1,2.5 V,
#led_r[8],Output,PIN_J17,7,B7_N2,2.5 V,
#led_r[7],Output,PIN_H19,7,B7_N2,2.5 V,
#led_r[6],Output,PIN_J19,7,B7_N2,2.5 V,
#led_r[5],Output,PIN_E18,7,B7_N1,2.5 V,
#led_r[4],Output,PIN_F18,7,B7_N1,2.5 V,
#led_r[3],Output,PIN_F21,7,B7_N0,2.5 V,
#led_r[2],Output,PIN_E19,7,B7_N0,2.5 V,
#led_r[1],Output,PIN_F19,7,B7_N0,2.5 V,
#led_r[0],Output,PIN_G19,7,B7_N2,2.5 V,
#hex7_n[6],Output,PIN_AA14,3,B3_N0,3.3-V LVTTL,
#hex7_n[5],Output,PIN_AG18,4,B4_N2,3.3-V LVTTL,
#hex7_n[4],Output,PIN_AF17,4,B4_N2,3.3-V LVTTL,
#hex7_n[3],Output,PIN_AH17,4,B4_N2,3.3-V LVTTL,
#hex7_n[2],Output,PIN_AG17,4,B4_N2,3.3-V LVTTL,
#hex7_n[1],Output,PIN_AE17,4,B4_N2,3.3-V LVTTL,
#hex7_n[0],Output,PIN_AD17,4,B4_N2,3.3-V LVTTL,
#hex6_n[6],Output,PIN_AC17,4,B4_N2,3.3-V LVTTL,
#hex6_n[5],Output,PIN_AA15,4,B4_N2,3.3-V LVTTL,
#hex6_n[4],Output,PIN_AB15,4,B4_N2,3.3-V LVTTL,
#hex6_n[3],Output,PIN_AB17,4,B4_N1,3.3-V LVTTL,
#hex6_n[2],Output,PIN_AA16,4,B4_N2,3.3-V LVTTL,
#hex6_n[1],Output,PIN_AB16,4,B4_N2,3.3-V LVTTL,
#hex6_n[0],Output,PIN_AA17,4,B4_N1,3.3-V LVTTL,
#hex5_n[6],Output,PIN_AH18,4,B4_N2,3.3-V LVTTL,
#hex5_n[5],Output,PIN_AF18,4,B4_N1,3.3-V LVTTL,
#hex5_n[4],Output,PIN_AG19,4,B4_N2,3.3-V LVTTL,
#hex5_n[3],Output,PIN_AH19,4,B4_N2,3.3-V LVTTL,
#hex5_n[2],Output,PIN_AB18,4,B4_N0,3.3-V LVTTL,
#hex5_n[1],Output,PIN_AC18,4,B4_N1,3.3-V LVTTL,
#hex5_n[0],Output,PIN_AD18,4,B4_N1,3.3-V LVTTL,
#hex4_n[6],Output,PIN_AE18,4,B4_N2,3.3-V LVTTL,
#hex4_n[5],Output,PIN_AF19,4,B4_N1,3.3-V LVTTL,
#hex4_n[4],Output,PIN_AE19,4,B4_N1,3.3-V LVTTL,
#hex4_n[3],Output,PIN_AH21,4,B4_N2,3.3-V LVTTL,
#hex4_n[2],Output,PIN_AG21,4,B4_N2,3.3-V LVTTL,
#hex4_n[1],Output,PIN_AA19,4,B4_N0,3.3-V LVTTL,
#hex4_n[0],Output,PIN_AB19,4,B4_N0,3.3-V LVTTL,
#hex3_n[6],Output,PIN_Y19,4,B4_N0,3.3-V LVTTL,
#hex3_n[5],Output,PIN_AF23,4,B4_N0,3.3-V LVTTL,
#hex3_n[4],Output,PIN_AD24,4,B4_N0,3.3-V LVTTL,
#hex3_n[3],Output,PIN_AA21,4,B4_N0,3.3-V LVTTL,
#hex3_n[2],Output,PIN_AB20,4,B4_N0,3.3-V LVTTL,
#hex3_n[1],Output,PIN_U21,5,B5_N0,2.5 V,
#hex3_n[0],Output,PIN_V21,5,B5_N1,2.5 V,
#hex2_n[6],Output,PIN_W28,5,B5_N1,2.5 V,
#hex2_n[5],Output,PIN_W27,5,B5_N1,2.5 V,
#hex2_n[4],Output,PIN_Y26,5,B5_N1,2.5 V,
#hex2_n[3],Output,PIN_W26,5,B5_N1,2.5 V,
#hex2_n[2],Output,PIN_Y25,5,B5_N1,2.5 V,
#hex2_n[1],Output,PIN_AA26,5,B5_N1,2.5 V,
#hex2_n[0],Output,PIN_AA25,5,B5_N1,2.5 V,
#hex1_n[6],Output,PIN_U24,5,B5_N0,2.5 V,
#hex1_n[5],Output,PIN_U23,5,B5_N1,2.5 V,
#hex1_n[4],Output,PIN_W25,5,B5_N1,2.5 V,
#hex1_n[3],Output,PIN_W22,5,B5_N0,2.5 V,
#hex1_n[2],Output,PIN_W21,5,B5_N1,2.5 V,
#hex1_n[1],Output,PIN_Y22,5,B5_N0,2.5 V,
#hex1_n[0],Output,PIN_M24,6,B6_N2,2.5 V,
#hex0_n[6],Output,PIN_H22,6,B6_N0,2.5 V,
#hex0_n[5],Output,PIN_J22,6,B6_N0,2.5 V,
#hex0_n[4],Output,PIN_L25,6,B6_N1,2.5 V,
#hex0_n[3],Output,PIN_L26,6,B6_N1,2.5 V,
#hex0_n[2],Output,PIN_E17,7,B7_N2,2.5 V,
#hex0_n[1],Output,PIN_F22,7,B7_N0,2.5 V,
#hex0_n[0],Output,PIN_G18,7,B7_N2,2.5 V,
#key3_n,Input,PIN_R24,5,B5_N0,2.5 V,
#key2_n,Input,PIN_N21,6,B6_N2,2.5 V,
#key1_n,Input,PIN_M21,6,B6_N1,2.5 V,
#sw[17],Input,PIN_Y23,5,B5_N2,2.5 V,
#sw[16],Input,PIN_Y24,5,B5_N2,2.5 V,
#sw[15],Input,PIN_AA22,5,B5_N2,2.5 V,
#sw[14],Input,PIN_AA23,5,B5_N2,2.5 V,
#sw[13],Input,PIN_AA24,5,B5_N2,2.5 V,
#sw[12],Input,PIN_AB23,5,B5_N2,2.5 V,
#sw[11],Input,PIN_AB24,5,B5_N2,2.5 V,
#sw[10],Input,PIN_AC24,5,B5_N2,2.5 V,
#sw[9],Input,PIN_AB25,5,B5_N1,2.5 V,
#sw[8],Input,PIN_AC25,5,B5_N2,2.5 V,
#sw[7],Input,PIN_AB26,5,B5_N1,2.5 V,
#sw[6],Input,PIN_AD26,5,B5_N2,2.5 V,
#sw[5],Input,PIN_AC26,5,B5_N2,2.5 V,
#sw[4],Input,PIN_AB27,5,B5_N1,2.5 V,
#sw[3],Input,PIN_AD27,5,B5_N2,2.5 V,
#sw[2],Input,PIN_AC27,5,B5_N2,2.5 V,
#sw[1],Input,PIN_AC28,5,B5_N2,2.5 V,
#sw[0],Input,PIN_AB28,5,B5_N1,2.5 V,

#
# SRAM
#
#sram_addr[19],Output,PIN_T8,2,B2_N1,3.3-V LVTTL,
#sram_addr[18],Output,PIN_AB8,3,B3_N2,3.3-V LVTTL,
#sram_addr[17],Output,PIN_AB9,3,B3_N2,3.3-V LVTTL,
#sram_addr[16],Output,PIN_AC11,3,B3_N0,3.3-V LVTTL,
#sram_addr[15],Output,PIN_AB11,3,B3_N1,3.3-V LVTTL,
#sram_addr[14],Output,PIN_AA4,2,B2_N1,3.3-V LVTTL,
#sram_addr[13],Output,PIN_AC3,2,B2_N1,3.3-V LVTTL,
#sram_addr[12],Output,PIN_AB4,2,B2_N2,3.3-V LVTTL,
#sram_addr[11],Output,PIN_AD3,2,B2_N1,3.3-V LVTTL,
#sram_addr[10],Output,PIN_AF2,2,B2_N2,3.3-V LVTTL,
#sram_addr[9],Output,PIN_T7,2,B2_N0,3.3-V LVTTL,
#sram_addr[8],Output,PIN_AF5,3,B3_N2,3.3-V LVTTL,
#sram_addr[7],Output,PIN_AC5,2,B2_N2,3.3-V LVTTL,
#sram_addr[6],Output,PIN_AB5,2,B2_N2,3.3-V LVTTL,
#sram_addr[5],Output,PIN_AE6,3,B3_N2,3.3-V LVTTL,
#sram_addr[4],Output,PIN_AB6,2,B2_N2,3.3-V LVTTL,
#sram_addr[3],Output,PIN_AC7,3,B3_N2,3.3-V LVTTL,
#sram_addr[2],Output,PIN_AE7,3,B3_N1,3.3-V LVTTL,
#sram_addr[1],Output,PIN_AD7,3,B3_N2,3.3-V LVTTL,
#sram_addr[0],Output,PIN_AB7,3,B3_N1,3.3-V LVTTL,
#sram_dq[15],Bidir,PIN_AG3,3,B3_N2,3.3-V LVTTL,
#sram_dq[14],Bidir,PIN_AF3,3,B3_N2,3.3-V LVTTL,
#sram_dq[13],Bidir,PIN_AE4,3,B3_N2,3.3-V LVTTL,
#sram_dq[12],Bidir,PIN_AE3,2,B2_N2,3.3-V LVTTL,
#sram_dq[11],Bidir,PIN_AE1,2,B2_N1,3.3-V LVTTL,
#sram_dq[10],Bidir,PIN_AE2,2,B2_N1,3.3-V LVTTL,
#sram_dq[9],Bidir,PIN_AD2,2,B2_N1,3.3-V LVTTL,
#sram_dq[8],Bidir,PIN_AD1,2,B2_N1,3.3-V LVTTL,
#sram_dq[7],Bidir,PIN_AF7,3,B3_N1,3.3-V LVTTL,
#sram_dq[6],Bidir,PIN_AH6,3,B3_N2,3.3-V LVTTL,
#sram_dq[5],Bidir,PIN_AG6,3,B3_N2,3.3-V LVTTL,
#sram_dq[4],Bidir,PIN_AF6,3,B3_N2,3.3-V LVTTL,
#sram_dq[3],Bidir,PIN_AH4,3,B3_N2,3.3-V LVTTL,
#sram_dq[2],Bidir,PIN_AG4,3,B3_N2,3.3-V LVTTL,
#sram_dq[1],Bidir,PIN_AF4,3,B3_N2,3.3-V LVTTL,
#sram_dq[0],Bidir,PIN_AH3,3,B3_N2,3.3-V LVTTL,
#sram_ce_n,Output,PIN_AF8,3,B3_N1,3.3-V LVTTL,
#sram_oe_n,Output,PIN_AD5,3,B3_N2,3.3-V LVTTL,
#sram_we_n,Output,PIN_AE8,3,B3_N1,3.3-V LVTTL,
#sram_ub_n,Output,PIN_AC4,2,B2_N2,3.3-V LVTTL,
#sram_lb_n,Output,PIN_AD4,3,B3_N2,3.3-V LVTTL,

#
# not yet used
#
#AUD_ADCDAT,Input,PIN_D2,1,B1_N0,3.3-V LVTTL,
#AUD_ADCLRCK,Bidir,PIN_C2,1,B1_N0,3.3-V LVTTL,
#AUD_BCLK,Bidir,PIN_F2,1,B1_N1,3.3-V LVTTL,
#AUD_DACDAT,Output,PIN_D1,1,B1_N0,3.3-V LVTTL,
#AUD_DACLRCK,Bidir,PIN_E3,1,B1_N0,3.3-V LVTTL,
#AUD_XCK,Output,PIN_E1,1,B1_N0,3.3-V LVTTL,
#CLOCK2_50,Input,PIN_AG14,3,B3_N0,3.3-V LVTTL,
#CLOCK3_50,Input,PIN_AG15,4,B4_N2,3.3-V LVTTL,
#EEP_I2C_SCLK,Output,PIN_D14,8,B8_N0,3.3-V LVTTL,
#EEP_I2C_SDAT,Bidir,PIN_E14,8,B8_N0,3.3-V LVTTL,
#ENET0_GTX_CLK,Output,PIN_A17,7,B7_N2,2.5 V,
#ENET0_INT_N,Input,PIN_A21,7,B7_N1,2.5 V,
#ENET0_LINK100,Input,PIN_C14,8,B8_N0,3.3-V LVTTL,
#ENET0_MDC,Output,PIN_C20,7,B7_N1,2.5 V,
#ENET0_MDIO,Bidir,PIN_B21,7,B7_N1,2.5 V,
#ENET0_RST_N,Output,PIN_C19,7,B7_N1,2.5 V,
#ENET0_RX_CLK,Input,PIN_A15,7,B7_N2,2.5 V,
#ENET0_RX_COL,Input,PIN_E15,7,B7_N2,2.5 V,
#ENET0_RX_CRS,Input,PIN_D15,7,B7_N2,2.5 V,
#ENET0_RX_DATA[3],Input,PIN_C15,7,B7_N2,2.5 V,
#ENET0_RX_DATA[2],Input,PIN_D17,7,B7_N1,2.5 V,
#ENET0_RX_DATA[1],Input,PIN_D16,7,B7_N2,2.5 V,
#ENET0_RX_DATA[0],Input,PIN_C16,7,B7_N2,2.5 V,
#ENET0_RX_DV,Input,PIN_C17,7,B7_N1,2.5 V,
#ENET0_RX_ER,Input,PIN_D18,7,B7_N1,2.5 V,
#ENET0_TX_CLK,Input,PIN_B17,7,B7_N2,2.5 V,
#ENET0_TX_DATA[3],Output,PIN_B19,7,B7_N1,2.5 V,
#ENET0_TX_DATA[2],Output,PIN_A19,7,B7_N1,2.5 V,
#ENET0_TX_DATA[1],Output,PIN_D19,7,B7_N1,2.5 V,
#ENET0_TX_DATA[0],Output,PIN_C18,7,B7_N1,2.5 V,
#ENET0_TX_EN,Output,PIN_A18,7,B7_N1,2.5 V,
#ENET0_TX_ER,Output,PIN_B18,7,B7_N1,2.5 V,
#ENET1_GTX_CLK,Output,PIN_C23,7,B7_N0,2.5 V,
#ENET1_INT_N,Input,PIN_D24,7,B7_N0,2.5 V,
#ENET1_LINK100,Input,PIN_D13,8,B8_N0,3.3-V LVTTL,
#ENET1_MDC,Output,PIN_D23,7,B7_N0,2.5 V,
#ENET1_MDIO,Bidir,PIN_D25,7,B7_N0,2.5 V,
#ENET1_RST_N,Output,PIN_D22,7,B7_N0,2.5 V,
#ENET1_RX_CLK,Input,PIN_B15,7,B7_N2,2.5 V,
#ENET1_RX_COL,Input,PIN_B22,7,B7_N1,2.5 V,
#ENET1_RX_CRS,Input,PIN_D20,7,B7_N1,2.5 V,
#ENET1_RX_DATA[3],Input,PIN_D21,7,B7_N0,2.5 V,
#ENET1_RX_DATA[2],Input,PIN_A23,7,B7_N0,2.5 V,
#ENET1_RX_DATA[1],Input,PIN_C21,7,B7_N0,2.5 V,
#ENET1_RX_DATA[0],Input,PIN_B23,7,B7_N0,2.5 V,
#ENET1_RX_DV,Input,PIN_A22,7,B7_N1,2.5 V,
#ENET1_RX_ER,Input,PIN_C24,7,B7_N0,2.5 V,
#ENET1_TX_CLK,Input,PIN_C22,7,B7_N0,2.5 V,
#ENET1_TX_DATA[3],Output,PIN_C26,7,B7_N0,2.5 V,
#ENET1_TX_DATA[2],Output,PIN_B26,7,B7_N0,2.5 V,
#ENET1_TX_DATA[1],Output,PIN_A26,7,B7_N0,2.5 V,
#ENET1_TX_DATA[0],Output,PIN_C25,7,B7_N0,2.5 V,
#ENET1_TX_EN,Output,PIN_B25,7,B7_N0,2.5 V,
#ENET1_TX_ER,Output,PIN_A25,7,B7_N0,2.5 V,
#ENETCLK_25,Input,PIN_A14,8,B8_N0,3.3-V LVTTL,
#EX_IO[6],Bidir,PIN_D9,8,B8_N1,3.3-V LVTTL,
#EX_IO[5],Bidir,PIN_E10,8,B8_N1,3.3-V LVTTL,
#EX_IO[4],Bidir,PIN_F14,8,B8_N0,3.3-V LVTTL,
#EX_IO[3],Bidir,PIN_H14,8,B8_N0,3.3-V LVTTL,
#EX_IO[2],Bidir,PIN_H13,8,B8_N0,3.3-V LVTTL,
#EX_IO[1],Bidir,PIN_J14,8,B8_N0,3.3-V LVTTL,
#EX_IO[0],Bidir,PIN_J10,8,B8_N1,3.3-V LVTTL,
#GPIO[35],Bidir,PIN_AG26,4,B4_N0,3.3-V LVTTL,
#GPIO[34],Bidir,PIN_AH23,4,B4_N1,3.3-V LVTTL,
#GPIO[33],Bidir,PIN_AH26,4,B4_N0,3.3-V LVTTL,
